size,time(nanoSeconds),timePerSize
1000,119402.7,119.4027
1100,55924.6,50.840545454545456
1200,63901.9,53.251583333333336
1300,70077.0,53.90538461538461
1400,78307.9,55.93421428571428
1500,89256.9,59.504599999999996
1600,92403.6,57.752250000000004
1700,101935.6,59.962117647058825
1800,114163.9,63.424388888888885
1900,50455.4,26.555473684210526
2000,76517.3,38.25865
2100,57792.6,27.520285714285713
2200,66224.2,30.10190909090909
2300,81962.8,35.636
2400,42447.9,17.686625
2500,44112.8,17.645120000000002
2600,47620.0,18.315384615384616
2700,48875.4,18.102
2800,52251.2,18.661142857142856
2900,56435.9,19.460655172413794
3000,54580.6,18.19353333333333
3100,59069.2,19.05458064516129
3200,59120.1,18.47503125
3300,63046.2,19.10490909090909
3400,64614.4,19.00423529411765
3500,84637.5,24.182142857142857
3600,73047.6,20.291
3700,72000.5,19.459594594594595
3800,72563.0,19.095526315789474
3900,78731.7,20.187615384615384
4000,79245.5,19.811375
4100,85244.7,20.791390243902438
4200,80903.3,19.26269047619048
4300,77890.1,18.113976744186047
4400,80916.8,18.39018181818182
4500,85740.0,19.053333333333335
4600,87284.8,18.97495652173913
4700,88679.0,18.86787234042553
4800,84589.7,17.622854166666666
4900,92966.1,18.972673469387757
5000,80774.7,16.15494
5100,105795.8,20.744274509803923
5200,97583.6,18.766076923076923
5300,104978.6,19.807283018867924
5400,88865.3,16.456537037037037
5500,98826.1,17.96838181818182
5600,111410.3,19.89469642857143
5700,104484.3,18.330578947368423
5800,115304.0,19.88
5900,124890.3,21.16784745762712
6000,126147.2,21.024533333333334
6100,117103.8,19.197344262295083
6200,126403.0,20.38758064516129
6300,123816.5,19.653412698412698
6400,128363.6,20.0568125
6500,129908.4,19.98590769230769
6600,132191.0,20.028939393939392
6700,144115.8,21.509820895522385
6800,150488.6,22.130676470588234
6900,151597.3,21.970623188405796
7000,144044.0,20.577714285714286
7100,173183.2,24.392000000000003
7200,145489.1,20.206819444444445
7300,148235.0,20.306164383561644
7400,157523.1,21.286905405405406
7500,168148.6,22.419813333333334
7600,158452.1,20.84896052631579
7700,152432.6,19.796441558441558
7800,156417.5,20.05352564102564
7900,203958.5,25.81753164556962
8000,171641.8,21.455225
8100,192660.2,23.78520987654321
8200,189300.6,23.085439024390244
8300,213282.1,25.696638554216868
8400,194779.1,23.187988095238097
8500,205946.3,24.228976470588233
8600,207465.0,24.123837209302327
8700,214585.7,24.665022988505747
8800,207219.0,23.547613636363636
8900,210447.5,23.64578651685393
9000,206089.9,22.898877777777777
9100,230145.6,25.290725274725276
9200,222637.7,24.19975
9300,213256.3,22.930784946236557
9400,224948.5,23.930691489361703
9500,215216.2,22.654336842105263
9600,229403.3,23.89617708333333
9700,233539.4,24.07622680412371
9800,234837.6,23.963020408163267
9900,248464.2,25.09739393939394
10000,238950.6,23.89506
