size,time(nanoSeconds),timePerSize
1000,822.67,0.82267
1100,775.64,0.7051272727272727
1200,861.21,0.7176750000000001
1300,965.36,0.7425846153846154
1400,1086.35,0.7759642857142857
1500,1397.49,0.93166
1600,1551.92,0.9699500000000001
1700,2293.01,1.348829411764706
1800,1288.68,0.7159333333333334
1900,1106.29,0.5822578947368421
2000,1384.1,0.6920499999999999
2100,1920.77,0.914652380952381
2200,2083.57,0.9470772727272728
2300,4478.42,1.9471391304347827
2400,2159.61,0.8998375000000001
2500,1433.18,0.573272
2600,1614.09,0.6208038461538461
2700,1568.17,0.5808037037037037
2800,1740.46,0.6215928571428572
2900,4853.21,1.6735206896551724
3000,3076.22,1.0254066666666666
3100,3242.64,1.0460129032258063
3200,3721.76,1.1630500000000001
3300,4000.1,1.2121515151515152
3400,3168.95,0.9320441176470587
3500,3247.22,0.9277771428571427
3600,2541.2,0.7058888888888888
3700,2340.85,0.6326621621621621
3800,4080.38,1.0737842105263158
3900,4153.3,1.064948717948718
4000,3492.2,0.87305
4100,3566.69,0.8699243902439024
4200,3270.67,0.7787309523809524
4300,6803.23,1.582146511627907
4400,3917.63,0.8903704545454546
4500,4541.92,1.0093155555555555
4600,6644.09,1.4443673913043478
4700,7323.49,1.5581893617021276
4800,5416.32,1.1283999999999998
4900,5305.27,1.0827081632653062
5000,3517.98,0.703596
5100,3401.63,0.666986274509804
5200,3912.18,0.7523423076923077
5300,7134.09,1.346054716981132
5400,3930.84,0.7279333333333333
5500,3390.96,0.6165381818181819
5600,3893.82,0.6953250000000001
5700,7736.03,1.357198245614035
5800,4744.78,0.8180655172413792
5900,4580.77,0.7764016949152543
6000,8366.71,1.3944516666666664
6100,5324.58,0.8728819672131147
6200,10822.1,1.7455
6300,6077.54,0.9646888888888889
6400,12043.2,1.88175
6500,9869.12,1.5183261538461539
6600,12032.83,1.8231560606060606
6700,11525.51,1.7202253731343284
6800,6929.47,1.019039705882353
6900,6718.34,0.973672463768116
7000,7806.39,1.1151985714285715
7100,9503.49,1.3385197183098592
7200,10283.35,1.4282430555555556
7300,9574.53,1.3115794520547945
7400,10479.56,1.4161567567567568
7500,9736.19,1.2981586666666667
7600,10270.71,1.3514092105263156
7700,9919.74,1.2882779220779221
7800,11659.32,1.4947846153846154
7900,10118.67,1.2808443037974684
8000,11721.69,1.46521125
8100,12458.91,1.538137037037037
8200,11768.07,1.435130487804878
8300,9045.62,1.089833734939759
8400,15536.94,1.8496357142857143
8500,12422.59,1.4614811764705882
8600,10492.16,1.2200186046511627
8700,52663.68,6.053296551724138
8800,19021.22,2.161502272727273
8900,9649.32,1.0841932584269662
9000,16639.94,1.848882222222222
9100,18973.15,2.0849615384615388
9200,16554.7,1.7994239130434784
9300,11625.68,1.25007311827957
9400,17388.75,1.8498670212765957
9500,11343.43,1.1940452631578948
9600,16041.88,1.6710291666666666
9700,11900.33,1.2268381443298968
9800,18795.23,1.917880612244898
9900,14244.78,1.4388666666666667
10000,12414.34,1.241434
10100,14748.41,1.460238613861386
10200,12433.21,1.218942156862745
10300,11399.58,1.1067553398058252
10400,13536.63,1.3015990384615383
10500,11676.31,1.1120295238095237
10600,13131.02,1.2387754716981132
10700,20012.46,1.8703233644859811
10800,15574.62,1.4420944444444446
10900,15942.07,1.462575229357798
11000,16474.49,1.4976809090909093
11100,18482.73,1.6651108108108108
11200,13900.67,1.24113125
11300,11750.55,1.0398716814159292
11400,13565.63,1.189967543859649
11500,13320.04,1.158264347826087
11600,18403.31,1.5864922413793106
11700,12236.02,1.0458136752136753
11800,14315.49,1.2131771186440679
11900,19706.53,1.6560109243697478
12000,14442.41,1.2035341666666666
12100,16062.81,1.327504958677686
12200,15894.48,1.3028262295081967
12300,14947.03,1.2152056910569107
12400,22790.11,1.8379120967741935
12500,13984.22,1.1187376
12600,15592.53,1.237502380952381
12700,13266.03,1.0445692913385827
12800,16161.17,1.26259140625
12900,14971.32,1.160567441860465
13000,20390.89,1.56853
13100,14932.48,1.1398839694656488
13200,15796.06,1.1966712121212122
13300,15032.75,1.130281954887218
13400,22539.05,1.682018656716418
13500,23748.52,1.7591496296296296
13600,15366.89,1.129918382352941
13700,19461.19,1.420524817518248
13800,16079.79,1.1652021739130436
13900,16491.33,1.186426618705036
14000,16483.51,1.1773935714285713
14100,16362.05,1.1604290780141844
14200,18044.13,1.2707133802816901
